Branch,City,Customer type,Date,Gender,Invoice ID,Payment,Product line,Time,Cogs,Customer type (copy),Gross Income,Gross Margin Percentage,Payment (copy),Quantity,Rating,Tax 5%,Total,Unit price
A,Yangon,Member,05-01-2019,Female,750-67-8428,Ewallet,Health and beauty,30-12-1899 01:08:00 pm,522.83,,26.1415,4.761904762,,7,9.1,26.1415,548.9715,74.69
C,Naypyitaw,Normal,08-03-2019,Female,226-31-3081,Cash,Electronic accessories,30-12-1899 10:29:00 am,76.4,,3.82,4.761904762,,5,9.6,3.82,80.22,15.28
A,Yangon,Normal,03-03-2019,Male,631-41-3108,Credit card,Home and lifestyle,30-12-1899 01:23:00 pm,324.31,,16.2155,4.761904762,,7,7.4,16.2155,340.5255,46.33
A,Yangon,Member,27-01-2019,Male,123-19-1176,Ewallet,Health and beauty,30-12-1899 08:33:00 pm,465.76,,23.288,4.761904762,,8,8.4,23.288,489.048,58.22
A,Yangon,Normal,08-02-2019,Male,373-73-7910,Ewallet,Sports and travel,30-12-1899 10:37:00 am,604.17,,30.2085,4.761904762,,7,5.3,30.2085,634.3785,86.31
C,Naypyitaw,Normal,25-03-2019,Male,699-14-3026,Ewallet,Electronic accessories,30-12-1899 06:30:00 pm,597.73,,29.8865,4.761904762,,7,4.1,29.8865,627.6165,85.39
A,Yangon,Member,25-02-2019,Female,355-53-5943,Ewallet,Electronic accessories,30-12-1899 02:36:00 pm,413.04,,20.652,4.761904762,,6,5.8,20.652,433.692,68.84
C,Naypyitaw,Normal,24-02-2019,Female,315-22-5665,Ewallet,Home and lifestyle,30-12-1899 11:38:00 am,735.6,,36.78,4.761904762,,10,8,36.78,772.38,73.56
A,Yangon,Member,10-01-2019,Female,665-32-9167,Credit card,Health and beauty,30-12-1899 05:15:00 pm,72.52,,3.626,4.761904762,,2,7.2,3.626,76.146,36.26
B,Mandalay,Member,20-02-2019,Female,692-92-5582,Credit card,Food and beverages,30-12-1899 01:27:00 pm,164.52,,8.226,4.761904762,,3,5.9,8.226,172.746,54.84
B,Mandalay,Member,06-02-2019,Female,351-62-0822,Ewallet,Fashion accessories,30-12-1899 06:07:00 pm,57.92,,2.896,4.761904762,,4,4.5,2.896,60.816,14.48
B,Mandalay,Member,09-03-2019,Male,529-56-3974,Cash,Electronic accessories,30-12-1899 05:03:00 pm,102.04,,5.102,4.761904762,,4,6.8,5.102,107.142,25.51
A,Yangon,Normal,12-02-2019,Female,365-64-0515,Ewallet,Electronic accessories,30-12-1899 10:25:00 am,234.75,,11.7375,4.761904762,,5,7.1,11.7375,246.4875,46.95
A,Yangon,Normal,07-02-2019,Male,252-56-2699,Ewallet,Food and beverages,30-12-1899 04:48:00 pm,431.9,,21.595,4.761904762,,10,8.2,21.595,453.495,43.19
A,Yangon,Normal,29-03-2019,Female,829-34-3910,Cash,Health and beauty,30-12-1899 07:21:00 pm,713.8,,35.69,4.761904762,,10,5.7,35.69,749.49,71.38
B,Mandalay,Member,15-01-2019,Female,299-46-1805,Cash,Sports and travel,30-12-1899 04:19:00 pm,562.32,,28.116,4.761904762,,6,4.5,28.116,590.436,93.72
A,Yangon,Member,11-03-2019,Female,656-95-9349,Credit card,Health and beauty,30-12-1899 11:03:00 am,482.51,,24.1255,4.761904762,,7,4.6,24.1255,506.6355,68.93
A,Yangon,Normal,01-01-2019,Male,765-26-6951,Credit card,Sports and travel,30-12-1899 10:39:00 am,435.66,,21.783,4.761904762,,6,6.9,21.783,457.443,72.61
A,Yangon,Normal,21-01-2019,Male,329-62-1586,Credit card,Food and beverages,30-12-1899 06:00:00 pm,164.01,,8.2005,4.761904762,,3,8.6,8.2005,172.2105,54.67
B,Mandalay,Normal,11-03-2019,Female,319-50-3348,Ewallet,Home and lifestyle,30-12-1899 03:30:00 pm,80.6,,4.03,4.761904762,,2,4.4,4.03,84.63,40.3
C,Naypyitaw,Member,25-02-2019,Male,300-71-4605,Ewallet,Electronic accessories,30-12-1899 11:24:00 am,430.2,,21.51,4.761904762,,5,4.8,21.51,451.71,86.04
B,Mandalay,Normal,05-03-2019,Male,371-85-5789,Ewallet,Health and beauty,30-12-1899 10:40:00 am,263.94,,13.197,4.761904762,,3,5.1,13.197,277.137,87.98
B,Mandalay,Normal,15-03-2019,Male,273-16-6619,Credit card,Home and lifestyle,30-12-1899 12:20:00 pm,66.4,,3.32,4.761904762,,2,4.4,3.32,69.72,33.2
A,Yangon,Normal,17-02-2019,Male,636-48-8204,Ewallet,Electronic accessories,30-12-1899 11:15:00 am,172.8,,8.64,4.761904762,,5,9.9,8.64,181.44,34.56
A,Yangon,Member,02-03-2019,Male,549-59-1358,Ewallet,Sports and travel,30-12-1899 05:36:00 pm,265.89,,13.2945,4.761904762,,3,6,13.2945,279.1845,88.63
A,Yangon,Member,22-03-2019,Female,227-03-5010,Credit card,Home and lifestyle,30-12-1899 07:20:00 pm,420.72,,21.036,4.761904762,,8,8.5,21.036,441.756,52.59
